question,opt1,opt2,opt3,opt4,answer,era,difficulty,hint
Lionel Messi is from which country?,Argentina,Brazil,Spain,Portugal,Argentina,classic,2,
LeBron James plays in which sport?,Football,Basketball,Baseball,Soccer,Basketball,modern,2,
Which team did Cristiano Ronaldo win the UEFA Champions League with 5 times?,Real Madrid,Manchester United,Juventus,Sporting,Real Madrid,modern,3,
Michael Jordan wore which jersey number for the Chicago Bulls?,23,33,45,24,23,classic,3,
Who won the 2022 FIFA World Cup?,France,Argentina,Brazil,Germany,Argentina,modern,3,
How many players are on a soccer team (on the field)?,9,10,11,12,11,classic,3,
Which country hosted the 2024 Summer Olympics?,Japan,France,Brazil,USA,France,current,3,
Lionel Messi is from which country?,Argentina,Brazil,Spain,Portugal,Argentina,classic,2,
LeBron James plays in which sport?,Football,Basketball,Baseball,Soccer,Basketball,modern,2,
Which team did Cristiano Ronaldo win the UEFA Champions League with 5 times?,Real Madrid,Manchester United,Juventus,Sporting,Real Madrid,modern,3,
Michael Jordan wore which jersey number for the Chicago Bulls?,23,33,45,24,23,classic,3,
Who won the 2022 FIFA World Cup?,France,Argentina,Brazil,Germany,Argentina,modern,3,
How many players are on a soccer team (on the field)?,9,10,11,12,11,classic,3,
Which country hosted the 2024 Summer Olympics?,Japan,France,Brazil,USA,France,current,3,
