question,opt1,opt2,opt3,opt4,answer,era,difficulty,hint
What is the chemical formula of water?,H2O,CO2,NaCl,O2,H2O,classic,1,
"Which planet is known as the ""Red Planet""?",Venus,Mars,Jupiter,Saturn,Mars,classic,2,
How many continents are there?,5,6,7,8,7,classic,2,
The Great Wall is located in which country?,Japan,China,India,Mongolia,China,classic,2,
What is the largest organ in the human body?,Liver,Skin,Brain,Lungs,Skin,classic,3,
How many bones are in the adult human body?,186,206,226,246,206,classic,3,
Who painted the Mona Lisa?,Michelangelo,Leonardo da Vinci,Raphael,Van Gogh,Leonardo da Vinci,classic,2,
The speed of light is approximately?,"150,000 km/s","300,000 km/s","3,000 km/s","30,000 km/s","300,000 km/s",classic,3,
"Which element has the chemical symbol ""Au""?",Silver,Gold,Aluminum,Argon,Gold,classic,3,
Who developed the theory of relativity?,Isaac Newton,Albert Einstein,Stephen Hawking,Galileo,Albert Einstein,modern,3,
Who founded Microsoft?,Steve Jobs,Bill Gates,Mark Zuckerberg,Larry Page,Bill Gates,modern,3,
