question,opt1,opt2,opt3,opt4,answer,era,difficulty,hint
대한민국의 수도는?,부산,서울,인천,대구,서울,classic,1,
태양계에서 가장 큰 행성은?,지구,목성,토성,해왕성,목성,classic,2,
인간 DNA의 염기 수는 대략 몇 개?,30억 쌍,3천만 쌍,30억 개 단일가닥,3억 쌍,30억 쌍,classic,2,
빛의 속도는 초속 약 몇 km?,3만,30만,300만,3000만,30만,classic,3,
ChatGPT를 만든 회사는?,Google,OpenAI,Meta,Anthropic,OpenAI,modern,2,
2024년 노벨 평화상 수상자 단체는?,WHO,일본 원수폭피해자단체협의회,UN 난민기구,국경없는의사회,일본 원수폭피해자단체협의회,current,3,
2024년 한국에서 가장 많이 팔린 자동차 브랜드는?,현대,기아,테슬라,BMW,현대,current,3,
"""햄릿""을 쓴 작가는?",셰익스피어,찰스 디킨스,토마스 하디,조지 오웰,셰익스피어,classic,2,
한국에서 발명된 금속활자는?,직지심체요절,훈민정음,고려대장경,조선왕조실록,직지심체요절,classic,3,
사람의 심장은 몇 개의 방이 있나?,2,3,4,5,4,classic,2,
하루는 몇 시간?,12시간,24시간,48시간,24.5시간,24시간,classic,2,
100의 제곱근은?,5,10,25,50,10,classic,2,
가장 가까운 태양계 행성은 (지구 기준)?,화성,금성,수성,목성,수성,classic,3,
빛의 삼원색은?,빨·파·노,빨·녹·파,빨·녹·노,노·파·녹,빨·녹·파,classic,3,
서울의 지하철 1호선은 무슨 색?,파랑,빨강,초록,남색,남색,classic,2,
한국 국보 1호는?,숭례문,불국사,석굴암,첨성대,숭례문,classic,3,
세종대왕의 한글 반포 연도는?,1443년,1446년,1450년,1392년,1446년,classic,2,
한국 화폐 단위는?,원,엔,유안,루피,원,classic,3,
한국의 국가 이름은 영어로?,Korea,South Korea (Republic of Korea),Chosun,KDR,South Korea (Republic of Korea),classic,3,
태극기의 네 괘는 각각 무엇?,건곤감리,인의예지,춘하추동,동서남북,건곤감리,classic,2,
대한민국의 주민등록번호는 몇 자리?,12자리,13자리,14자리,15자리,13자리,classic,3,
한국의 표준시는 UTC 기준 +?,+8,+9,+10,+7,+9,classic,3,
헌법 제1조의 주요 내용은?,대한민국은 민주공화국,모든 국민은 평등,대통령은 선거로 선출,교육은 의무,대한민국은 민주공화국,classic,3,
인간의 체온 정상 범위는?,34~35°C,36~37°C,38~39°C,40°C,36~37°C,classic,3,
물의 끓는점은 (1기압 기준)?,0°C,50°C,100°C,200°C,100°C,classic,3,
얼음의 녹는점은?,-10°C,0°C,10°C,100°C,0°C,classic,3,
지구와 달의 평균 거리는 대략?,10만 km,38만 km,100만 km,1000만 km,38만 km,classic,3,
"프로그래밍 언어 ""Python""의 창시자는?",귀도 반 로섬,리누스 토발즈,빌 게이츠,제임스 고슬링,귀도 반 로섬,classic,3,
"""자동차의 왕""이라 불린 미국 사업가는?",헨리 포드,존 록펠러,앤드류 카네기,JP 모건,헨리 포드,classic,3,
"이순신의 유명한 대사 ""신에게는 아직""으로 시작하는 말은?",십 이 척의 배가 있사옵나이다,죽음을 두려워 마라,필사즉생,전쟁은 끝났다,십 이 척의 배가 있사옵나이다,classic,3,
5G에서 G는 무엇?,Generation,Global,Giga,Gateway,Generation,modern,3,
VR의 약자는?,Virtual Reality,Video Record,Visual Ratio,Very Real,Virtual Reality,modern,3,
AI의 약자는?,Artificial Intelligence,Auto Internet,Advanced Iteration,Animated Image,Artificial Intelligence,modern,3,
"""블록체인""이 처음 대중화된 분야는?",암호화폐 (비트코인),의료,게임,선거,암호화폐 (비트코인),modern,3,
USB의 약자는?,Universal Serial Bus,United Standard Byte,User Shared Bridge,Ultra Speed Backup,Universal Serial Bus,modern,3,
2024년 한국 최저임금은 시간당?,"9,160원","9,620원","9,860원","10,030원","9,860원",current,3,
2024년 한국 기준금리는 대략?,0.5%,1.5%,3.5%,5.5%,3.5%,current,3,
2024년 한국 인구 수는 대략?,4천만,5천만,6천만,7천만,5천만,current,3,
