question,opt1,opt2,opt3,opt4,answer,era,difficulty,hint
"Which streaming service released ""Stranger Things""?",Netflix,Disney+,HBO Max,Prime Video,Netflix,modern,2,
"Who directed ""Inception"" (2010)?",Christopher Nolan,Steven Spielberg,Ridley Scott,Denis Villeneuve,Christopher Nolan,modern,3,
Which film won Best Picture at the 2020 Oscars?,Parasite,1917,Joker,Once Upon a Time in Hollywood,Parasite,modern,3,
Who plays Tony Stark / Iron Man in the MCU?,Chris Evans,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Robert Downey Jr.,modern,3,
"""The Last of Us"" TV series airs on which network?",HBO,Netflix,Disney+,Apple TV+,HBO,current,3,
"""House of the Dragon"" is a prequel to which show?",The Witcher,Game of Thrones,The Walking Dead,Westworld,Game of Thrones,current,3,
Which Pixar film features a chef rat named Remy?,WALL-E,Ratatouille,Up,Coco,Ratatouille,modern,4,
Which film was the highest-grossing of 2023 worldwide?,Barbie,Oppenheimer,The Super Mario Bros. Movie,Avatar 2,Barbie,current,3,
"Which streaming service released ""Stranger Things""?",Netflix,Disney+,HBO Max,Prime Video,Netflix,modern,2,
"Who directed ""Inception"" (2010)?",Christopher Nolan,Steven Spielberg,Ridley Scott,Denis Villeneuve,Christopher Nolan,modern,3,
Which film won Best Picture at the 2020 Oscars?,Parasite,1917,Joker,Once Upon a Time in Hollywood,Parasite,modern,3,
Who plays Tony Stark / Iron Man in the MCU?,Chris Evans,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Robert Downey Jr.,modern,3,
"""The Last of Us"" TV series airs on which network?",HBO,Netflix,Disney+,Apple TV+,HBO,current,3,
"""House of the Dragon"" is a prequel to which show?",The Witcher,Game of Thrones,The Walking Dead,Westworld,Game of Thrones,current,3,
Which Pixar film features a chef rat named Remy?,WALL-E,Ratatouille,Up,Coco,Ratatouille,modern,4,
Which film was the highest-grossing of 2023 worldwide?,Barbie,Oppenheimer,The Super Mario Bros. Movie,Avatar 2,Barbie,current,3,
