question,opt1,opt2,opt3,opt4,answer,era,difficulty,hint
"2024년 화제가 된 AI 영상 생성 도구 ""Sora""를 만든 회사는?",Google DeepMind,OpenAI,Meta,Runway,OpenAI,current,3,
2024년 한국 1인 가구 비율은 대략?,20%,30%,35~40%,50%,35~40%,current,3,
2025년 현재 삼성전자 회장은?,이재용,이건희,김기남,한종희,이재용,current,3,
2024년 노벨 문학상 수상자는?,무라카미 하루키,한강,마거릿 애트우드,살만 루슈디,한강,current,4,
아이폰 15 시리즈의 커넥터 타입은?,Lightning,USB-C,MagSafe,Thunderbolt,USB-C,current,3,
2024년 한국 출산율(합계출산율)은 약?,0.6,0.7,0.8,1.1,0.7,current,3,
"2024년 화제의 ""로봇"" 분야 기업은?",보스턴 다이내믹스,테슬라 옵티머스,휴머노이드 스타트업 여럿,위 모두,위 모두,current,3,
2024년 한국 소비자물가 상승률은 대략?,1%,2% 전후,4% 전후,7%,2% 전후,current,3,
2024년 한국에서 화제가 된 OTT 오리지널은?,무빙,더 글로리,이상한 변호사 우영우,선재 업고 튀어,무빙,current,3,
"2024년 한국 금융시장 ""밸류업"" 프로그램을 추진한 기관은?",금융위,금감원,한국거래소,기획재정부,한국거래소,current,4,
2024년 대한민국 광복 기념 몇 주년?,75주년,77주년,79주년,80주년,79주년,current,3,
2024년 삼성전자 최대 경쟁사 (반도체 HBM 기준)는?,SK하이닉스,인텔,Micron,TSMC,SK하이닉스,current,3,
AI 반도체 시장 1위 기업은?,NVIDIA,AMD,Intel,Qualcomm,NVIDIA,current,3,
"2024년 한국 인기 프랜차이즈 신메뉴 중 ""탕후루""는 어디서 왔나?",중국,일본,대만,베트남,중국,current,3,
2024년 한국 대표 코미디언 중 세계 투어 화제 인물은?,이경규,박나래,조세호,김영철,이경규,current,3,
2024년 파리 올림픽 개막식 독특했던 점은?,경기장이 아닌 센 강에서 진행,비가 와서 취소,지하에서 진행,선수단 없이 진행,경기장이 아닌 센 강에서 진행,current,4,
2024년 개봉한 한국 애니 중 박스오피스 화제작은?,더 퍼스트 슬램덩크(재상영),파묘,인사이드 아웃 2,위 모두,위 모두,current,4,
