question,opt1,opt2,opt3,opt4,answer,era,difficulty,hint
"""자유의 여신상""을 미국에 선물한 나라는?",영국,프랑스,스페인,독일,프랑스,classic,2,
세계에서 가장 긴 강은?,나일강,아마존강,양쯔강,미시시피강,나일강,classic,2,
달에 처음 착륙한 우주인은?,유리 가가린,닐 암스트롱,버즈 올드린,존 글렌,닐 암스트롱,classic,3,
UN 본부가 있는 도시는?,런던,파리,뉴욕,제네바,뉴욕,modern,2,
세계에서 가장 큰 나라 (면적 기준)는?,중국,미국,러시아,캐나다,러시아,classic,2,
2024년 기준 세계 인구 1위 국가는?,중국,인도,미국,인도네시아,인도,current,3,
"""자유의 여신상""을 미국에 선물한 나라는?",영국,프랑스,스페인,독일,프랑스,classic,2,
세계에서 가장 긴 강은?,나일강,아마존강,양쯔강,미시시피강,나일강,classic,2,
달에 처음 착륙한 우주인은?,유리 가가린,닐 암스트롱,버즈 올드린,존 글렌,닐 암스트롱,classic,3,
UN 본부가 있는 도시는?,런던,파리,뉴욕,제네바,뉴욕,modern,2,
세계에서 가장 큰 나라 (면적 기준)는?,중국,미국,러시아,캐나다,러시아,classic,2,
2024년 기준 세계 인구 1위 국가는?,중국,인도,미국,인도네시아,인도,current,3,
세계에서 가장 인구가 많은 대륙은?,아시아,아프리카,유럽,북아메리카,아시아,classic,2,
적도가 지나는 나라 중 하나는?,브라질,이집트,중국,러시아,브라질,classic,2,
북극과 남극 중 더 추운 곳은?,북극,남극,같음,시기마다 다름,남극,classic,3,
미국의 수도는?,뉴욕,로스앤젤레스,워싱턴 D.C.,시카고,워싱턴 D.C.,classic,3,
영국의 수도는?,런던,맨체스터,에든버러,리버풀,런던,classic,3,
일본의 수도는?,오사카,교토,도쿄,요코하마,도쿄,classic,3,
독일의 수도는?,뮌헨,베를린,프랑크푸르트,함부르크,베를린,classic,3,
호주의 수도는?,시드니,멜버른,캔버라,브리즈번,캔버라,classic,3,
캐나다의 수도는?,토론토,오타와,밴쿠버,몬트리올,오타와,classic,3,
필리핀의 수도는?,세부,다바오,마닐라,퀘손 시티,마닐라,classic,3,
베트남의 수도는?,호치민,하노이,다낭,냐짱,하노이,classic,3,
세계에서 가장 긴 국경을 가진 두 나라는?,미국·캐나다,러시아·중국,인도·중국,브라질·아르헨티나,미국·캐나다,classic,3,
세계 3대 영화제가 아닌 곳은?,칸,베니스,베를린,토론토,토론토,classic,3,
국제올림픽위원회(IOC) 본부가 있는 도시는?,뉴욕,로잔,제네바,파리,로잔,classic,3,
세계에서 가장 오래된 공화국은?,로마,산마리노,그리스,스위스,산마리노,classic,3,
세계 최대의 커피 생산국은?,베트남,브라질,콜롬비아,에티오피아,브라질,classic,3,
세계에서 가장 인구 밀도가 높은 도시국가는?,싱가포르,모나코,홍콩,바레인,모나코,classic,3,
미국 성조기 별 개수는?,48,50,52,13,50,classic,3,
대영제국의 최대 영토 시기는?,18세기,19세기,20세기 초,17세기,20세기 초,classic,3,
BRICS에 처음 포함된 5개국은?,B라질·R러시아·I인도·C중국·S남아공,B·R·I·C만,B·R·I·C·S(스페인),B·R·I·C·S(스웨덴),B라질·R러시아·I인도·C중국·S남아공,modern,3,
"미국 달러 상징 ""$""은 어느 나라 통화 기호에서 유래?",스페인 페소,영국 파운드,포르투갈,독일 마르크,스페인 페소,modern,3,
세계 최대 인구 국가 순위 2위 (2024 기준)는?,인도,중국,미국,인도네시아,중국,modern,3,
"""세계은행""의 본부 도시는?",뉴욕,워싱턴 D.C.,런던,제네바,워싱턴 D.C.,modern,3,
G7 국가가 아닌 곳은?,미국,영국,독일,중국,중국,modern,3,
스페인의 수도는?,바르셀로나,마드리드,세비야,발렌시아,마드리드,classic,3,
이탈리아의 수도는?,밀라노,로마,피렌체,나폴리,로마,classic,3,
러시아의 수도는?,상트페테르부르크,모스크바,블라디보스토크,카잔,모스크바,classic,3,
브라질의 수도는?,리우데자네이루,상파울루,브라질리아,살바도르,브라질리아,classic,3,
아르헨티나의 수도는?,부에노스아이레스,코르도바,로사리오,멘도사,부에노스아이레스,classic,3,
멕시코의 수도는?,과달라하라,멕시코시티,칸쿤,몬테레이,멕시코시티,classic,3,
이집트의 수도는?,알렉산드리아,카이로,룩소르,기자,카이로,classic,3,
터키의 수도는?,이스탄불,앙카라,이즈미르,안탈리아,앙카라,classic,3,
사우디아라비아의 수도는?,메카,메디나,리야드,지다,리야드,classic,3,
인도의 수도는?,뭄바이,콜카타,뉴델리,첸나이,뉴델리,classic,3,
태국의 수도는?,치앙마이,방콕,푸켓,파타야,방콕,classic,3,
네덜란드의 수도는?,암스테르담,로테르담,헤이그,유트레히트,암스테르담,classic,3,
세계에서 가장 많이 쓰이는 언어 (모국어 기준) 1위는?,영어,중국어(만다린),스페인어,힌디어,중국어(만다린),classic,3,
유엔 공용어가 아닌 언어는?,영어,프랑스어,독일어,중국어,독일어,classic,3,
"""다빈치 코드""의 배경 도시는?",파리·런던,로마,베니스,아테네,파리·런던,classic,3,
"""빙산의 일각""이라 할 때 물 위에 보이는 비율은?",5%,10%,20%,30%,10%,classic,3,
"""에디슨""이 발명한 것 중 유명한 것은?",전구,라디오,전화,자동차,전구,classic,3,
"""알베르트 아인슈타인""이 노벨상을 받은 업적은?",상대성이론,광전효과,원자핵이론,양자역학,광전효과,classic,3,
영국 왕실 현 국왕은?,엘리자베스 2세,찰스 3세,윌리엄,해리,찰스 3세,classic,3,
"""브렉시트""가 발효된 해는?",2016년,2018년,2020년,2022년,2020년,modern,3,
"""NATO""의 한국어 번역은?",국제연합,북대서양조약기구,세계보건기구,국제통화기금,북대서양조약기구,modern,3,
"""ASEAN"" 본부가 있는 도시는?",방콕,자카르타,싱가포르,쿠알라룸푸르,자카르타,modern,3,
2022년 기준 세계 최고 부자였던 인물은?,일론 머스크,제프 베조스,빌 게이츠,버크셔 해서웨이 워런 버핏,일론 머스크,modern,3,
"""나이지리아""가 속한 대륙은?",아프리카,아시아,유럽,남미,아프리카,classic,3,
"""칠레""의 수도는?",부에노스아이레스,산티아고,리마,보고타,산티아고,classic,3,
"""페루""의 수도는?",리마,쿠스코,아레키파,트루히요,리마,classic,3,
"""콜롬비아""의 수도는?",메데인,보고타,칼리,바랑키야,보고타,classic,3,
"""이집트""의 수도는?",기자,알렉산드리아,카이로,룩소르,카이로,classic,3,
"""남아공""의 수도 중 하나는 (행정)?",프리토리아,케이프타운,요하네스버그,더반,프리토리아,classic,3,
"""케냐""의 수도는?",나이로비,몸바사,키수무,엘도레트,나이로비,classic,3,
"""뉴질랜드""의 수도는?",오클랜드,웰링턴,크라이스트처치,더니든,웰링턴,classic,3,
"""스위스""의 수도는?",제네바,취리히,베른,바젤,베른,classic,3,
"""오스트리아""의 수도는?",잘츠부르크,빈,그라츠,린츠,빈,classic,3,
"""포르투갈""의 수도는?",리스본,포르투,브라가,아베이루,리스본,classic,3,
"""그리스""의 수도는?",아테네,테살로니키,파트라,헤라클리온,아테네,classic,3,
"""폴란드""의 수도는?",크라쿠프,그단스크,바르샤바,포즈난,바르샤바,classic,3,
"""우크라이나""의 수도는?",키이우(키예프),오데사,리비우,하르키우,키이우(키예프),classic,3,
"""헝가리""의 수도는?",부다페스트,데브레첸,세게드,미슈콜츠,부다페스트,classic,3,
"""벨기에""의 수도는?",브뤼셀,앤트워프,브뤼주,겐트,브뤼셀,classic,3,
"""핀란드""의 수도는?",헬싱키,에스푸,탐페레,투르쿠,헬싱키,classic,3,
"""아이슬란드""의 수도는?",레이캬비크,아크레이리,코파보구르,하프나르피외르뒤르,레이캬비크,classic,3,
"""아일랜드""의 수도는?",더블린,코크,리머릭,골웨이,더블린,classic,3,
"""말레이시아""의 수도는?",쿠알라룸푸르,페낭,조호바루,코타키나발루,쿠알라룸푸르,classic,3,
"""파키스탄""의 수도는?",카라치,이슬라마바드,라호르,페샤와르,이슬라마바드,classic,3,
"""방글라데시""의 수도는?",다카,치타공,쿨나,실렛,다카,classic,3,
"""이란""의 수도는?",테헤란,이스파한,마슈하드,시라즈,테헤란,classic,3,
"""이라크""의 수도는?",바그다드,바스라,모술,카르발라,바그다드,classic,3,
"""아프가니스탄""의 수도는?",카불,칸다하르,헤라트,마자리샤리프,카불,classic,3,
"""유럽 연합(EU)"" 초기 회원국이 아닌 나라는?",프랑스,독일,이탈리아,스페인,스페인,classic,3,
"""유로화(€)""를 사용하지 않는 EU 국가는?",독일,프랑스,스웨덴,스페인,스웨덴,classic,3,
"""영국 파운드화""의 기호는?",£,€,¥,$,£,classic,3,
"""일본 엔화""의 기호는?",¥,€,£,$,¥,classic,3,
"""중국 위안화""의 기호는?",¥ 또는 元,€,£,$,¥ 또는 元,classic,3,
"""미국 성조기""에서 별의 의미는?",50개 주,50개 대통령,13개 식민지,자유,50개 주,classic,3,
"""미국 성조기""의 가로줄(13개) 의미는?",13개 식민지,13개 주,13명 대통령,13개의 바다,13개 식민지,classic,3,
"""일본 국기"" 중앙의 빨간 원은?",태양,달,피,불,태양,classic,3,
"""중국 국기"" 바탕색은?",빨강,파랑,노랑,녹색,빨강,classic,3,
"""프랑스 국기"" 색 순서 (왼쪽부터)는?",청·백·적,적·백·청,백·청·적,청·적·백,청·백·적,classic,3,
